,0
0,aca.
1,acab.
2,acabamento
3,alumina
4,apara prensada
5,arrancado
6,avaria aa
7,beira mal vidrada
8,c
9,c.f.col.
10,c.f.nic
11,c.fr.nic.
12,colado
13,conraminado
14,cont. cor
15,cont. água
16,cont. óleo
17,cont.forn
18,cont.forno
19,cont.água
20,contaminacao
21,contaminado
22,contaminado agua
23,contaminado forno
24,empeno
25,enchimento
26,ensaio ferro 46
27,esc. a
28,esc.a
29,esc.b
30,escorrido
31,escorrido 
32,escorrido a
33,escorrido b
34,escorrido za
35,escorrido zb
36,escorrido zb 
37,escorrido zc
38,escorrido zona b
39,escorrido+fissura za
40,f. arran
41,f. beira
42,f. nicado
43,f.a.
44,f.arra.
45,f.arrancado
46,f.col
47,f.col.
48,f.colado
49,f.n
50,f.nic
51,f.nic.
52,f.nicado
53,f.vid
54,f.vid.
55,f.vidrado
56,falta de vidro
57,falta de vidro 
58,falta de vidro ao toque
59,falta de vidro ao toqufrete nicado
60,falta de vidro zona
61,falta de vidro zona a
62,falta de vidro zona a e c
63,falta de vvidro
64,falta vidro
65,falta vidro beira
66,falta vidro toque
67,falta vidro za
68,falta vidro za parede
69,falta vidro zb
70,falta vidro zb/c
71,falta vidro zona b
72,fiss. radial beira
73,fiss.a
74,fiss.beira
75,fiss.r.beira
76,fiss.radial beira
77,fissura
78,fissura beira
79,fissura beira 
80,fissura beira e za
81,fissura na beira
82,fissura z. a/c
83,fissura za
84,fissura za 
85,fissura zc
86,fissura zona a
87,fissura zona c
88,frete arrancado
89,frete colado
90,frete colado 
91,frete colado e arrancado
92,frete colado e nicado
93,frete colado e vidrado
94,frete colado/picos
95,frete nicado
96,frete nicado e colado
97,frete nidado
98,frete vidrado
99,frete vidrado 
100,frete vidrado zb e zc
101,fv a
102,fva
103,fvt
104,fvtoque
105,fvtoque 
106,m.sinp.
107,m.spin.
108,marca spindle
109,marca spindle 
110,mart.
111,martelado
112,martelado 
113,mau acab.
114,mau acabamento
115,nicado
116,pic o za
117,pico beira
118,pico na beira
119,pico união
120,pico za
121,pico za/beira
122,picos
123,picos 
124,picos a
125,picos a 
126,picos a/b
127,picos a: pingos a
128,picos b
129,picos zb
130,picos zona a
131,pingo
132,pingos
133,pingos 
134,pingos  a
135,pingos a
136,pingos za
137,res. a
138,res. c
139,res.a
140,res.a 
141,res.prensas
142,residuos
143,residuos cortantes
144,residuos zb
145,residuosvidragem
146,resíduos
147,resíduos a
148,resíduos prensas
149,saldo
150,tonalidade
151,travessa muito brilhante
152,zb
